ES,Methods,1,2,3,4,5,6,7,8,9,10,11,12,Average
Level 0,tdgsf,0.0445242089355295,0.181732650910898,0.108926284392299,0.155241809986534,0.198986241911789,0.271303783096447,0.107688846875125,0.745795960134054,0.30559829425836,0.343279718323612,2.0093270844571,0.719525740873241,0.432660885346249
Level 0,tdgsa,0.0445242089355299,0.181732650910898,0.108926284392299,0.155241809986536,0.198986241911791,0.271303783096446,0.10768884687511,0.745795960134032,0.305598294258433,0.34327971832363,2.0093270844571,0.719525740873236,0.432660885346253
Level 0,bu,0.0980245078801749,0.0953311393193446,0.202695991214508,0.173872629911259,0.0578040645991813,0.0628147609961667,0.477104304506134,2.37679149526789,2.26998889409772,0.0593547693585487,2.11705743141774,0.86118666058845,0.73766888742976
Level 0,mo,0.123248816396204,0.150301241845943,0.133922572094114,0.175809828734618,0.110403504807641,0.11405022889316,0.0470886204943243,0.556921049810415,0.01724841160585,0.187275989535628,1.94119226653237,0.593766925756256,0.34593578804221
Level 1,tdgsf,0.21658484365728,0.436422144639456,1.0320103259411,1.62070537314467,1.26868065935032,0.458633337363103,1.02846985001552,4.55121191575855,4.44069372012582,2.25689360665099,1.62403447845682,0.846828037452152,1.64843069104632
Level 1,tdgsa,0.164211251718568,0.382776398450878,0.922049964848838,1.50318307179779,1.0718366337552,0.561130300365424,1.55471504528996,5.35016800204068,6.82235313200848,3.68328854989264,2.39125939466526,1.20166951348997,2.13405343819364
Level 1,bu,0.33305643670488,0.260341308380749,0.827694435687739,1.01655372463927,0.823172389474442,0.406272307569594,1.04691766483217,3.71245819017282,1.85497537092407,3.00463767840621,1.76362169963687,0.873963812837426,1.32697208493885
Level 1,mo,0.288948413022188,0.216797973290303,0.745941726406282,0.912407341802144,0.598781814194951,1.19772842035971,1.37590789699823,1.61467178493241,2.11763724138785,1.71946239681721,1.10017824532195,0.451383194135952,1.0283205373891
Level 2,tdgsf,0.483069034725689,0.301768822363007,0.366326353972189,0.557897060129299,0.625662445620849,0.725768568932248,1.20742313552438,2.90461302636404,4.21629485480908,2.56628959194897,1.46105201655146,0.964957690549525,1.36509355012423
Level 2,tdgsa,0.520501973089227,0.323930609841204,0.40922521076656,0.596506456717398,0.706251211763724,0.893212563756751,1.55561092843493,3.95207397435795,6.02278519127697,3.63445844711047,1.99456293394248,1.16755909100686,1.81472321600538
Level 2,bu,0.838543616056949,0.648154337916891,0.609766966439812,0.767333789526812,0.775486577691101,0.783686769181713,1.08018921753954,1.96245107352997,3.1393012328387,2.28866030293109,1.34688758473994,1.06539097620999,1.27548770371688
Level 2,mo,1.33763300138001,0.535702119602033,0.533883325976212,0.681150689911109,0.767524910125665,0.841628198922591,1.26345808617363,1.99854777638196,3.2021731540478,2.3531553602958,1.33328603976059,0.982508881816667,1.31922096203284
