"ME" "RMSE" "MAE" "MAPE" "MPE" "MASE"
"Total" 3639.50494050863 7591.10215480501 5009.51810822186 28.0701371564187 14.6755223606404 0.903251609878007
"A" 177.218089377211 715.776233534301 496.016488890995 38.4489128299037 -21.1071703826435 0.766245863374349
"B" 2280.39929705175 5079.46994187848 3559.57966567631 52.6468203332442 29.3729096349745 1.16709523012663
"C" -91.4124029388383 816.889985824469 562.476303706412 239.146738992946 -230.895298052307 0.824015338864879
"D" 39.6070160943874 101.630637577199 73.0584951835214 62.7201278689588 -15.6126479997958 1.67269628848511
"E" 1216.77978526447 2297.88034642435 1286.2344860659 59.3155078186647 23.0525129701982 3.69276005330241
"F" 16.9131556596483 998.95027890153 599.246325903827 33.0159104588288 23.2579617594935 0.352668554550103
"X2700201" -0.00141038762173249 0.00141038762173249 0.00141038762173249 Inf -Inf 0.00752206731590661
"X2700300" -0.0384276238635677 0.0384278229587061 0.0384276238635677 Inf -Inf 0.263503706493035
"X2700409" -0.783282153462618 1.22248698079477 0.895057152435848 Inf NA 0.61375347595601
"X2700508" -0.203693089417851 0.203693089417851 0.203693089417851 Inf -Inf 0.558701045260391
"X2700607" -1.41374362203984 1.41374362203984 1.41374362203984 Inf -Inf 10.4399529012173
"X2700805" 0 0 0 NA NA NA
"X2701001" -0.203574152961175 0.203574152961175 0.203574152961175 Inf -Inf 0.514292596954547
"X2701100" -0.14806060727724 0.401012259558475 0.376484849295938 Inf -Inf 0.752969698591876
"X2701308" -0.00926844798488854 0.276540761944668 0.160501484431852 Inf -Inf 0.963008906591109
"X2701357" -0.21291003336135 0.21291003336135 0.21291003336135 Inf -Inf 0.537877979018147
"X2701407" -2.11952691859972 2.20149063712192 2.11952691859972 Inf -Inf 6.1658964904719
"X2701704" -0.0277747040634385 0.82962125948279 0.481478920052865 Inf -Inf 0.962957840105731
"X2701902" 0 0 0 NA NA NA
"X2702108" -0.406638454588226 0.643638329979883 0.412581298644813 Inf NA 0.76168855134427
"X2702207" 0.0740664109161119 0.28613759297737 0.0910557686810179 Inf -Inf 4.37067689668886
"X2702306" 0.544204139203088 1.85140357392086 1.32599971042935 Inf -Inf 1.07877942543405
"X2702553" -0.0250108055893398 0.0250108065496032 0.0250108055893398 Inf -Inf 0.300129667072077
"X2702603" -0.111058716609872 0.111058716609872 0.111058716609872 Inf -Inf 0.761545485324836
"X2702702" -0.0833727763800981 0.0833727763800981 0.0833727763800981 Inf -Inf 0.533585768832628
"X2702801" 0.21299995487433 0.977287676684143 0.706777792819668 Inf -Inf 1.25649385390163
"X2703007" -0.282664062143286 0.620849843023978 0.54110894067496 Inf -Inf 1.85523065374272
"X2703205" -0.129703260077833 0.39460337627003 0.364246617829667 Inf -Inf 0.832563697896381
"X2703502" 0.185231049889495 0.650537801155362 0.407384475055252 Inf -Inf 1.39674677161801
"X2703601" 0.0278394027294328 0.373716364684797 0.259218175958156 Inf -Inf 0.921664625628999
"X2703759" -0.0188854203328344 0.791579203153399 0.467024319492464 Inf NA 0.533742079419959
"X2703809" -0.113987987628969 0.823072608713592 0.566757811513713 Inf NA 0.922182201785025
"X2703908" -0.148163770170801 0.148163770170801 0.148163770170801 Inf -Inf 0.677320092209378
"X2704005" -0.277504406666964 0.391660037032722 0.384031450000248 Inf -Inf 0.534304626087302
"X2704203" -0.00982440176428148 0.372807467413027 0.284327378953965 Inf -Inf 0.852982136861896
"X2704302" -0.157465042268221 0.404578952029665 0.382754472623259 Inf -Inf 0.749886313710874
"X2704906" -0.0184259631907509 0.0184259631907509 0.0184259631907509 Inf -Inf 0.589630822104029
"X2704500" -0.110850213658069 1.43799976544629 1.05542510682903 Inf -Inf 0.817103308512801
"X2704708" 0.00922527978935023 1.1055800866556 0.603423377953319 Inf -Inf 1.13585577026507
"X2704807" -0.00925793451482546 0.00925793451482546 0.00925793451482546 Inf -Inf 0.444380856711622
"X2705101" -0.131896718631747 0.90548683965207 0.649771978320067 Inf NA 0.891115855981806
"X2705200" -0.135954195256452 0.500713558656937 0.276253688056029 Inf NA 0.697904054036284
"X2705507" -0.814645400809661 0.814645400809661 0.814645400809661 Inf -Inf 0.686017179629188
"X2705606" 0.00707480532467137 1.32250282620674 0.837074844215687 Inf -Inf 0.92366879361731
"X2706307" -0.0552117054671276 0.281846095075801 0.198787532333717 Inf -Inf 0.908743004954137
"X2706448" -0.0602207074625813 0.0602207138059128 0.0602207074625813 Inf -Inf 0.412941994029129
"X2706505" 0.481327242644603 1.60805552801466 0.884336378677699 Inf -Inf 1.80630409261828
"X2706604" 0.14830475120809 0.572319713784567 0.181968262882147 Inf -Inf 5.8229844122287
"X2706703" -0.62927510961473 0.763863314723669 0.689637554807365 Inf -Inf 0.5092708097039
"X2706802" -0.138854193711093 0.138854193711093 0.138854193711093 Inf -Inf 0.533200103850597
"X2706901" -0.0368468193158455 0.434577597321462 0.393423409657923 Inf -Inf 0.839303273936902
"X2707008" 0 0 0 NA NA NA
"X2707305" -0.147538642870536 0.954656660851996 0.696701189757559 Inf NA 1.09644777404468
"X2707404" -0.140101922450997 0.398142483997066 0.371179059411776 Inf -Inf 0.672324334028876
"X2707503" -0.153804642006785 0.153804642006785 0.153804642006785 Inf -Inf 0.492174854421712
"X2707602" -0.0555150411940599 0.281905673386803 0.199040312106161 Inf -Inf 0.830776954877889
"X2707701" -0.00931167451497306 1.01040587914739 0.876551945752496 Inf -Inf 0.7254222999331
"X2707800" -0.286859048604621 0.286859048604621 0.286859048604621 Inf -Inf 0.64042950386148
"X2707909" -0.152176877546853 0.154665213001281 0.152176877546853 Inf -Inf 4.8696600814993
"X2708105" -0.0555787182904603 0.0555787182904603 0.0555787182904603 Inf -Inf 0.533555695588419
"X2708204" -0.0999932832862203 0.428469647978455 0.250894540457174 Inf NA 0.802862529462957
"X2708303" -0.203858950597246 0.343434652630598 0.322660236608816 Inf -Inf 0.645320473217633
"X2708501" -0.324268856394065 1.29615442324487 0.997072251897236 Inf NA 1.16730409978213
"X2708600" -3.27699971201793 3.33059961256712 3.27699971201793 Inf -Inf 3.05429099372545
"X2708709" 2.50476880887888e-05 0.276385400331269 0.15275690470437 Inf -Inf 0.862627226565857
"X2708808" -0.111046951391148 0.563814668990461 0.398094681714846 Inf -Inf 0.779940600910718
"X2708907" -0.120193658277768 0.120193658277768 0.120193658277768 Inf -Inf 0.72116194966661
"X2709004" -0.0833580234108382 0.0833580234108382 0.0833580234108382 Inf -Inf 0.500148140465029
"X2709103" -0.0464044085679117 0.0464044085679117 0.0464044085679117 Inf -Inf 0.742470537086587
"X2709152" -0.32416560415898 0.42599557252235 0.422915781243594 Inf -Inf 0.654837338699759
"X2709301" -0.224030137526831 0.434831451724895 0.427131202795665 Inf -Inf 0.640696804193497
"X2709400" 0.0356427834500019 0.278678840856965 0.123078057470607 Inf -Inf 0.843963822655593
"X2900306" 0.157369530890222 0.843958037613606 0.327192057591481 Inf -Inf 1.57052187643911
"X2900405" -2.34766487404941e-06 2.46167315605302e-06 2.34766487404941e-06 Inf -Inf 0.000112687913954372
"X2900603" 0.0137285099779087 0.276726147797967 0.141337352796187 Inf -Inf 0.753799214912998
"X2900702" -0.138924831084588 0.309336382568831 0.268548470348268 Inf -Inf 0.661042388549582
"X2900801" -0.729607981127915 2.89594448717378 2.66326799685465 Inf -Inf 0.555812451517493
"X2900900" -0.140366105028517 0.398235523691403 0.371355181130123 Inf -Inf 0.648183588881669
"X2901007" -0.120399372265081 0.120399372265081 0.120399372265081 Inf -Inf 0.525379078974897
"X2901106" 0.0183560255928095 0.373129779787747 0.265540427382571 Inf -Inf 0.849729367624229
"X2901205" 0.602281725391074 5.08054378586553 2.49927954879994 Inf NA 0.756879610993043
"X2901502" -0.0277951003412452 0.0277951003412452 0.0277951003412452 Inf -Inf 0.667082408189886
"X2901700" -0.0184984263216846 0.0184984263216846 0.0184984263216846 Inf -Inf 0.591949642293906
