"ME" "RMSE" "MAE" "MAPE" "MPE" "MASE"
"Total" 3779.19080931315 10321.9861461451 6514.48894605588 37.9343048768408 -17.1546276669617 1.17460851541788
"A" 323.367129605991 1271.87875305915 829.997240633683 60.1509180918549 -35.1714698516549 1.28217905350208
"B" 1775.53635945495 5229.21834406541 3215.99227389134 34.2110406429434 -14.8006015097539 1.05444170253443
"C" 61.7949172907449 1315.27578723038 911.364823854501 437.574529154372 -419.502773534602 1.33512930093136
"D" 49.1841217479561 108.259676769434 71.9592316336813 55.577284523256 -6.76303368763291 1.64752831787107
"E" 1370.14941563702 2547.01379126728 1396.79621800416 57.6862409422246 43.6580542796909 4.0101811390753
"F" 199.158865576467 1456.43280200631 922.096132024991 53.6528018044733 -43.8683272151995 0.542672180003795
"X2700201" -0.0976174378734804 0.0982806376615057 0.0976174378734804 Inf -Inf 0.520626335325229
"X2700300" -0.097059695313657 0.105445564567484 0.097059695313657 Inf -Inf 0.665552196436505
"X2700409" -0.753498979473973 1.33722549576841 1.23856281323454 Inf -Inf 0.849300214789397
"X2700508" -0.203703703703735 0.203703703703735 0.203703703703735 Inf -Inf 0.558730158730244
"X2700607" -0.700151633205162 0.812508530709256 0.700151633205162 Inf -Inf 5.17035052213043
"X2700805" 0 0 0 NA NA NA
"X2701001" -0.200387467476011 0.200589274353221 0.200387467476011 Inf -Inf 0.506242023097291
"X2701100" -0.140811196183891 0.396597190970464 0.36993155738092 Inf -Inf 0.739863114761839
"X2701308" -0.00925925925922192 0.276540454130889 0.160493827160463 Inf -Inf 0.962962962962776
"X2701357" -0.211138622221144 0.211383229119518 0.211138622221144 Inf -Inf 0.533402835084996
"X2701407" -0.320478027058635 0.959753580972726 0.617987097705731 Inf -Inf 1.79778064787122
"X2701704" -0.0277777777777107 0.829621362392669 0.481481481481426 Inf -Inf 0.962962962962851
"X2701902" 0 0 0 NA NA NA
"X2702108" -0.34717843927101 0.347783397158686 0.34717843927101 Inf -Inf 0.640944810961865
"X2702207" 0.0833333333333333 0.288675134594813 0.0833333333333333 100 100 4
"X2702306" 0.472227319828028 1.93290148677098 1.30361492285925 Inf -Inf 1.06056807283464
