"ME" "RMSE" "MAE" "MAPE" "MPE" "MASE"
"Total" 3492.78164560186 7386.82659313124 4927.83151159465 28.2575699921092 14.2173863663326 0.888522937715334
"A" 176.013123147486 709.77356448854 492.71945482232 38.2343052200731 -20.8408806285469 0.761152607861462
"B" 2267.63400205763 5097.10787513046 3562.19301894539 52.2435398960717 28.5819507071228 1.16795208189606
"C" -97.9031098317461 795.021551481854 548.372775689574 227.582873933605 -219.763990095064 0.803353982392783
"D" 40.495115891795 101.913620943335 72.9218635764019 61.4843707924464 -13.6708028358945 1.66956806661927
"E" 1104.32184918845 2108.73787743551 1205.9324230459 63.6304883760322 17.2192353717922 3.46221402632952
"F" 2.22066514824139 995.913788376965 588.416198190041 31.7055539107383 21.8710632924837 0.346294805857271
"X2700201" -0.00143368642049573 0.00144046751770057 0.00143368642049573 Inf -Inf 0.00764632757597724
"X2700300" -0.0384386192450405 0.0384389932900724 0.0384386192450405 Inf -Inf 0.263579103394564
"X2700409" -0.78373073043198 1.22245871251333 0.894819600508819 Inf NA 0.613590583206047
"X2700508" -0.203734560228671 0.203734711770709 0.203734560228671 Inf -Inf 0.558814793770068
"X2700607" -1.4137630850032 1.4137630898133 1.4137630850032 Inf -Inf 10.4400966277159
"X2700805" 0 0 0 NA NA NA
"X2701001" -0.203641310596812 0.20364170818862 0.203641310596812 Inf -Inf 0.514462258349841
"X2701100" -0.148174208721943 0.401309781433281 0.376765175895596 Inf -Inf 0.753530351791193
"X2701308" -0.00928371304873832 0.276554174751671 0.16052133230768 Inf -Inf 0.963127993846082
"X2701357" -0.212961525925104 0.212961749436974 0.212961525925104 Inf -Inf 0.538008065495
"X2701407" -2.11962724246523 2.20152840790882 2.11962724246523 Inf -Inf 6.16618834171705
"X2701704" -0.0278443698382317 0.82968161969501 0.481569010489993 Inf -Inf 0.963138020979986
"X2701902" 0 0 0 NA NA NA
"X2702108" -0.406736272382454 0.643578851015102 0.412513545852299 Inf NA 0.761563469265783
"X2702207" 0.0740652541443145 0.286134099556249 0.0910549047779863 Inf -Inf 4.37063542934334
"X2702306" 0.543893501932842 1.85095248772061 1.32576968773475 Inf -Inf 1.07859228832657
"X2702553" -0.0250186803297603 0.0250187330472179 0.0250186803297603 Inf -Inf 0.300224163957123
"X2702603" -0.111080511482175 0.111080588250767 0.111080511482175 Inf -Inf 0.761694935877773
"X2702702" -0.0833870792640658 0.0833871233054836 0.0833870792640658 Inf -Inf 0.533677307290021
"X2702801" 0.212895823786147 0.977344568437911 0.706823279523916 Inf -Inf 1.25657471915363
"X2703007" -0.28270237499783 0.620895705589907 0.541158486119962 Inf -Inf 1.85540052383987
"X2703205" -0.129776255621668 0.394719791613117 0.364368038695488 Inf -Inf 0.832841231303973
"X2703502" 0.185189449346691 0.650597415814652 0.407478767057189 Inf -Inf 1.39707005848179
"X2703601" 0.027798634630397 0.37365268179637 0.25919996865444 Inf -Inf 0.921599888549121
"X2703759" -0.0191363876828438 0.79125779519018 0.466729840478443 Inf NA 0.533405531975364
