"ME" "RMSE" "MAE" "MAPE" "MPE" "MASE"
"Total" 3831.04934101819 10108.1422048796 6292.76965038382 34.3667058783993 -13.8223282138702 1.13463095541503
"A" 322.736149526006 1256.38642224347 818.360461533827 58.9989467396983 -34.2631183609738 1.26420256673609
"B" 1799.54088893564 5201.30123556301 3154.56689599523 31.2967040092487 -11.9927267292615 1.03430189045421
"C" 69.3362671387511 1270.58929162453 872.293049158894 410.408872959728 -392.876239972391 1.277890015554
"D" 49.1274100058564 107.962969201814 71.6241721001608 55.1387341307103 -6.46948210612878 1.6398570287659
"E" 1370.79015287177 2440.15400049864 1386.56540236659 65.61214559807 57.1761833013762 3.98080861974977
"F" 219.518472540164 1458.48203973621 911.587140836244 51.3468617005398 -41.3068736582374 0.53648742663593
"X2700201" -0.0976246663720391 0.0982921946058428 0.0976246663720391 Inf -Inf 0.520664887317542
"X2700300" -0.0970652090231888 0.105440017153468 0.0970652090231888 Inf -Inf 0.665590004730437
"X2700409" -0.753759541118134 1.33856277614306 1.2395572718475 Inf -Inf 0.849982129266855
"X2700508" -0.203723227048256 0.203723938633459 0.203723227048256 Inf -Inf 0.558783708475216
"X2700607" -0.700158497849837 0.812454778138625 0.700158497849837 Inf -Inf 5.1704012148911
"X2700805" 0 0 0 NA NA NA
"X2701001" -0.20041796172001 0.20062831075565 0.20041796172001 Inf -Inf 0.506319061187393
"X2701100" -0.140859298063302 0.397014268139711 0.370271111801946 Inf -Inf 0.740542223603892
"X2701308" -0.00926644564151181 0.276579525734553 0.160521254680684 Inf -Inf 0.963127528084106
"X2701357" -0.211162009546941 0.211413174810582 0.211162009546941 Inf -Inf 0.53346191885543
"X2701407" -0.320519814452256 0.959364135277299 0.617794516170046 Inf -Inf 1.7972204106765
"X2701704" -0.0278105745535436 0.829786194896564 0.481599106460573 Inf -Inf 0.963198212921146
"X2701902" 0 0 0 NA NA NA
"X2702108" -0.347237650936857 0.347868838186622 0.347237650936857 Inf -Inf 0.641054124806506
"X2702207" 0.0833327836666993 0.288673531906484 0.0833446250874366 Inf NA 4.00054200419696
"X2702306" 0.472028919746225 1.93334017775074 1.30517488528418 Inf -Inf 1.06183719480747
"X2702553" -0.0555597696660908 0.0555598912317134 0.0555597696660908 Inf -Inf 0.666717235993089
"X2702603" -0.106902849129847 0.128561442594175 0.106902849129847 Inf -Inf 0.733048108318948
"X2702702" -0.0833400667495295 0.083340273657072 0.0833400667495295 Inf -Inf 0.533376427196989
"X2702801" 0.144677423296518 0.821537180180251 0.647313697880244 Inf -Inf 1.15077990734266
"X2703007" -0.107462400354114 0.301462488391139 0.244844733239043 Inf -Inf 0.839467656819576
"X2703205" -0.0223917889165206 0.343306038642735 0.266271010633039 Inf -Inf 0.608619452875519
"X2703502" 0.185165600766376 0.650696334594786 0.4075890136545 Inf -Inf 1.39744804681543
"X2703601" 0.0277585852511687 0.373748373199034 0.259300192610955 Inf -Inf 0.921956240394506
"X2703759" -0.084357200136928 0.890565194638508 0.675324862407099 Inf -Inf 0.771799842750971
"X2703809" -0.268815081024215 0.600190537086365 0.551709794513264 Inf -Inf 0.897697292767345
"X2703908" -0.148161136567118 0.148161569616498 0.148161136567118 Inf -Inf 0.677308052878253
"X2704005" -0.271902269932046 0.399757418196633 0.388565074815977 Inf -Inf 0.540612278004838
"X2704203" -0.00928545494601905 0.37299771659465 0.284119747122929 Inf -Inf 0.852359241368786
"X2704302" -0.157434702427394 0.404333021890332 0.382544297531955 Inf -Inf 0.749474542103421
"X2704906" -1.09933326814044e-06 3.03395784814447e-05 2.4434588390763e-05 Inf NA 0.000781906828504415
"X2704500" -0.0856822642685733 1.48310372463749 1.06534238871185 Inf -Inf 0.824781204164015
"X2704708" 0.00919898424124159 1.10541567797037 0.603353844419467 Inf -Inf 1.13572488361311
"X2704807" -5.49666634070219e-07 1.51697892407223e-05 1.22172941953815e-05 Inf NA 0.000586430121378312
"X2705101" -0.147438515265045 0.831546369374781 0.695887055552605 Inf -Inf 0.954359390472143
"X2705200" -0.138915639332035 0.309464405228393 0.268622040601136 Inf -Inf 0.678624102571291
"X2705507" -0.728053317189132 0.749441983813513 0.728053317189132 Inf -Inf 0.613097530264533
