"ME" "RMSE" "MAE" "MAPE" "MPE" "MASE"
"Total" 3311.64944135129 7595.21860692982 5015.59390874225 29.5096329275665 9.28494099662337 0.904347119761949
"A" 136.350812830992 475.957085922542 352.256298512198 28.439969611838 -5.41532940852775 0.544165239720182
"B" 2535.49145365208 6137.30745110313 3890.61990295633 41.2887283159647 14.7412924699787 1.27563486631878
"C" -146.28802001169 612.758613930702 373.874208807136 83.9697411396636 -80.4914184793746 0.547717443086907
"D" 48.3928718244028 105.113902280102 73.915475017191 54.3656762193089 3.57597664784852 1.69231710032205
"E" 998.427619173708 1933.65807697141 1147.61188162267 70.4488105680831 12.0599312523814 3.29477662048495
"F" -260.7252961182 1008.09532850242 522.731673963568 19.0635896978237 -9.67306808494576 0.307638137949759
"X2700201" -0.00127411939888259 0.00131030654777349 0.00127411939888259 Inf -Inf 0.00679530346070713
"X2700300" -0.0347312893619561 0.0357336687325758 0.0347312893619561 Inf -Inf 0.238157412767699
"X2700409" -0.641021741860043 1.15799933635893 0.855675081310832 Inf NA 0.58674862718457
"X2700508" -0.184012758369794 0.189239032367972 0.184012758369794 Inf -Inf 0.504720708671435
"X2700607" -1.27715115059989 1.31342440637441 1.27715115059989 Inf -Inf 9.4312700351992
"X2700805" 0 0 0 NA NA NA
"X2701001" -0.183905313264385 0.18912853563959 0.183905313264385 Inf -Inf 0.464602896667919
"X2701100" -0.117652423284496 0.428122366308519 0.38211346261064 Inf -Inf 0.764226925221281
"X2701308" -0.000321489022309901 0.279347750468959 0.154288696210188 Inf -Inf 0.925732177261129
"X2701357" -0.192339183599193 0.197801942176264 0.192339183599193 Inf -Inf 0.485909516461119
"X2701407" -1.89058898890068 1.99709847358646 1.89058898890068 Inf -Inf 5.49989524043833
"X2701704" -0.000936787527496256 0.837053384934989 0.462290599337663 Inf -Inf 0.924581198675325
"X2701902" 0 0 0 NA NA NA
"X2702108" -0.353898370845856 0.579118800240894 0.361041767911135 Inf NA 0.666538648451326
"X2702207" 0.0749617584288272 0.285461244920047 0.0897855764893968 Inf -Inf 4.30970767149105
"X2702306" 0.683334861216815 1.72474775501358 1.22474352910984 Inf -Inf 0.996401515208007
"X2702553" -0.0225952303284137 0.0232378560786577 0.0225952303284137 Inf -Inf 0.271142763940964
"X2702603" -0.100328493434892 0.103177992573759 0.100328493434892 Inf -Inf 0.687966812124976
"X2702702" -0.0753175014355955 0.0774566460408273 0.0753175014355955 Inf -Inf 0.482032009187811
"X2702801" 0.248780665486793 0.999805834171289 0.702959260682218 Inf -Inf 1.24970535232394
"X2703007" -0.239250819611016 0.618519103819975 0.510069749541011 Inf -Inf 1.7488105698549
"X2703205" -0.101068718338152 0.400767227377762 0.352537902398978 Inf -Inf 0.805800919769094
"X2703502" 0.199540332425678 0.663975292438761 0.40936853268802 Inf -Inf 1.40354925493036
"X2703601" 0.0412525554318106 0.368115802563672 0.244288524983123 Inf -Inf 0.868581422162215
"X2703759" 0.0347396731212797 0.730024078640957 0.436373077602102 Inf NA 0.498712088688117
"X2703809" -0.0579664093861901 0.762743310360856 0.529858015759275 Inf NA 0.862141856150684
"X2703908" -0.133848546936556 0.137650072367432 0.133848546936556 Inf -Inf 0.611879071709971
"X2704005" -0.242641141555054 0.381459998980042 0.359105241169896 Inf -Inf 0.499624683366811
"X2704203" 0.0072277361539621 0.385910593866482 0.28148065259277 Inf -Inf 0.844441957778309
"X2704302" -0.126148224632228 0.353946981880147 0.32741327928348 Inf -Inf 0.641462751249268
"X2704906" -0.0166456914274345 0.0171184572566063 0.0166456914274345 Inf -Inf 0.532662125677903
"X2704500" -0.0357284231055509 1.45656437457579 1.02790779319627 Inf -Inf 0.795799581829372
"X2704708" 0.0405398118989895 1.07493617652932 0.558998756669341 Inf -Inf 1.05223295373052
"X2704807" -0.00836345539138677 0.00860099168959868 0.00836345539138677 Inf -Inf 0.401445858786565
"X2705101" -0.0564141728552885 0.843619193358968 0.562069740900141 Inf NA 0.770838501805907
"X2705200" -0.115218389022286 0.457694662251001 0.264916973585096 Inf NA 0.669263933267611
"X2705507" -0.735936342880737 0.756838181466202 0.735936342880737 Inf -Inf 0.619735867689042
"X2705606" 0.0491610408267229 1.29529895287121 0.813889953366819 Inf -Inf 0.898085465784076
"X2706307" -0.0418258206712736 0.283945644392891 0.189217018535613 Inf -Inf 0.864992084734232
"X2706448" -0.0543987975439751 0.0559403572477631 0.0543987975439751 Inf -Inf 0.373020326015829
"X2706505" 0.507285751219735 1.6413353256772 0.893166532844548 Inf -Inf 1.82434015219312
"X2706604" 0.150078834835247 0.573162311069075 0.180699845284682 Inf -Inf 5.78239504910983
"X2706703" -0.544321686359234 0.70161785372599 0.634739118581144 Inf -Inf 0.468730426029152
"X2706802" -0.125438439119441 0.129001103244199 0.125438439119441 Inf -Inf 0.481683606218653
"X2706901" -0.00913237706180573 0.456103940933463 0.396145102415361 Inf -Inf 0.845109551819436
"X2707008" 0 0 0 NA NA NA
