"ME" "RMSE" "MAE" "MAPE" "MPE" "MASE"
"Total" 4443.64863514065 8822.4511459728 5687.03827321265 33.8157220286853 17.6643083509002 1.02541329619836
"A" 267.119729115806 614.939721580334 455.233852465459 29.2053988257919 9.63384702132282 0.703244880224705
"B" 1901.3177023135 5285.43591318042 3259.09880614755 41.5021147261203 9.76759065756904 1.06857523315004
"C" 148.075558097408 714.168472831891 337.056347157281 55.3214714974616 -46.0026982269938 0.493780090448633
"D" 48.5928874883436 105.921533026657 69.1392278328642 52.1247856788637 -4.21515507299121 1.58296348007512
"E" 1367.01447390205 2312.88461220983 1371.82278188319 74.7970289793049 72.2257412888553 3.93848277590723
"F" 711.528284223569 1825.2499720973 948.12802154163 25.3534138686859 7.40710868536671 0.5579924722629
"X2700201" -0.0845432590118055 0.0995915425610602 0.0845432590118055 Inf -Inf 0.450897381396296
"X2700300" -0.0778977975950328 0.0888247666097113 0.0778977975950328 Inf -Inf 0.534156326365939
"X2700409" -0.594142739822936 1.46294374188096 1.17111051813138 Inf -Inf 0.803047212432943
"X2700508" -0.173631424263371 0.201953236319088 0.173631424263371 Inf -Inf 0.476246192265247
"X2700607" -0.460001603581403 0.504768194715251 0.460001603581403 Inf -Inf 3.39693491875498
"X2700805" 0 0 0 NA NA NA
"X2701001" -0.17185980152648 0.200813361350993 0.17185980152648 Inf -Inf 0.43417213017216
"X2701100" -0.0974265970476438 0.466924369753286 0.386665468058537 Inf -Inf 0.773330936117073
"X2701308" 0.00440995866820843 0.290064905222156 0.154634348357137 Inf -Inf 0.927806090142822
"X2701357" -0.181161090818703 0.211755405490648 0.181161090818703 Inf -Inf 0.457670124173565
"X2701407" -0.145552963641522 0.75974742985544 0.489057091722061 Inf -Inf 1.42271153955509
"X2701704" 0.0132298760045869 0.872629133097061 0.465317298656735 Inf -Inf 0.93063459731347
"X2701902" 0 0 0 NA NA NA
"X2702108" -0.298992916960826 0.350427044033431 0.298992916960826 Inf -Inf 0.551986923619986
"X2702207" 0.0833333333333333 0.288675134594813 0.0833333333333333 100 100 4
"X2702306" 0.803727074810632 2.09585406491748 1.48175867056907 Inf -Inf 1.20549857944602
"X2702553" -0.0473540247988162 0.0550781553594197 0.0473540247988162 Inf -Inf 0.568248297585794
"X2702603" -0.0865568797211577 0.104681563717013 0.0865568797211577 Inf -Inf 0.59353288951651
"X2702702" -0.0710310371985804 0.0826172330395438 0.0710310371985804 Inf -Inf 0.454598638070915
"X2702801" 0.233423732509887 0.969747264712921 0.667582906336815 Inf -Inf 1.18681405570989
"X2703007" -0.0377746507969388 0.46278346635798 0.280288578668639 Inf -Inf 0.960989412578189
"X2703205" 0.0123408127851462 0.374527078436267 0.263382607441635 Inf -Inf 0.602017388438023
"X2703502" 0.207055933868897 0.689011801342974 0.424971481206927 Inf -Inf 1.45704507842375
"X2703601" 0.0482816046689576 0.382684785008963 0.245872686688624 Inf -Inf 0.874213997115108
"X2703759" 0.0056912369056543 0.94929555252822 0.632964361940127 Inf -Inf 0.723387842217288
"X2703809" -0.157738548282772 0.675559749003555 0.555090131025015 Inf -Inf 0.903197501328838
"X2703908" -0.126277399464239 0.146875080959301 0.126277399464239 Inf -Inf 0.577268111836523
"X2704005" -0.221271471482346 0.432136786732712 0.364649904330737 Inf -Inf 0.507338997329721
"X2704203" 0.0167122548028334 0.412838149224295 0.289969450584945 Inf -Inf 0.869908351754836
"X2704302" -0.109565144661382 0.351934397603857 0.296862856063056 Inf -Inf 0.581608860858232
"X2704906" 0 0 0 NA NA 0
"X2704500" 0.0173332965955563 1.61411496383553 1.11380777556875 Inf -Inf 0.862302793988707
"X2704708" 0.0571015220052957 1.08517375813887 0.544825638795901 Inf -Inf 1.02555414361581
"X2704807" 0 0 0 NA NA 0
"X2705101" -0.0025853988816019 0.92150631668193 0.666961816517727 Inf -Inf 0.914690491224311
"X2705200" -0.106082765863289 0.339658697110331 0.256246478553872 Inf -Inf 0.647359524767677
"X2705507" -0.669588236521621 0.849557688863631 0.669588236521621 Inf -Inf 0.56386377812347
"X2705606" 0.119797569609446 1.19751707128247 0.732546218070693 Inf -Inf 0.808326861319385
"X2706307" -0.0350517286642332 0.302600298496883 0.190991982661574 Inf -Inf 0.873106206452908
"X2706448" -0.0710310371986533 0.0826172330396286 0.0710310371986533 Inf -Inf 0.487069969362194
"X2706505" 0.521122213471045 1.67377602465201 0.916343736234179 Inf -Inf 1.87168082294641
"X2706604" 0.166666666666667 0.577350269189626 0.166666666666667 100 100 5.33333333333333
"X2706703" -0.493011431731961 0.837245024988782 0.698274177664609 Inf -Inf 0.515648623506173
"X2706802" -0.127623733126984 0.145512937096885 0.127623733126984 Inf -Inf 0.490075135207617
"X2706901" 0.0126631993557422 0.502626228944131 0.411601780802877 Inf -Inf 0.878083799046138
"X2707008" 0 0 0 NA NA NA
"X2707305" -0.0967900124348161 0.973397240320208 0.633403821643377 Inf -Inf 0.996832243897773
"X2707404" -0.0937804697284536 0.460590375291866 0.380824133472132 Inf -Inf 0.689794656855183
"X2707503" -0.134169736930249 0.15605477351867 0.134169736930249 Inf -Inf 0.429343158176798
"X2707602" -0.0435766040253492 0.295143682718763 0.193270900494586 Inf -Inf 0.80669593249914
"X2707701" 0.0946974422993043 0.942888233468043 0.69281057677174 Inf -Inf 0.573360477328337
"X2707800" -0.249846480133411 0.291564584612064 0.249846480133411 Inf -Inf 0.557796792855987
"X2707909" -0.0614781193840115 0.0715060953112942 0.0614781193840115 Inf -Inf 1.96729982028837
"X2708105" 0.000346188189792104 0.00121371022092171 0.00035549438689424 Inf NA 0.0034127461141847
"X2708204" -0.143524986059246 0.177055332046895 0.150540486123236 Inf NA 0.481729555594355
"X2708303" -0.161329128128635 0.375079152281532 0.304366479907198 Inf -Inf 0.608732959814396
"X2708501" -0.438168798859521 1.31968808402933 1.13805691455618 Inf -Inf 1.33235931460236
