"ME" "RMSE" "MAE" "MAPE" "MPE" "MASE"
"Total" 2230.96167796428 6181.72271802142 4425.83483161373 30.2872343213421 6.90845930097934 0.798009379414787
"A" 168.119024080375 612.0673694548 527.268193819491 68.268242811624 -1.97634258166261 0.814523471399832
"B" 1304.31673181335 4478.20578150336 2515.70491145941 28.0177792677657 -3.3909515552567 0.824835367749121
"C" -81.4607643856523 1433.71157804183 929.793785953046 157.515179811724 -138.841023679712 1.36212732262311
"D" 49.5807246083074 138.274273208201 105.768031722797 93.1065633260533 -6.22872680460483 2.42159099579979
"E" 1326.72765592221 2364.30219831663 1362.42034525366 71.3680693577499 52.3550616452355 3.91148852037657
"F" -536.321694074338 1523.39706190532 1022.25671763427 58.4426516228543 -40.3673366827509 0.601618705702452
"X2700201" -0.110442730840425 0.160919231201927 0.110442730840425 Inf -Inf 0.589027897815598
"X2700300" -0.0903622343239838 0.131661189165213 0.0903622343239838 Inf -Inf 0.619626749650175
"X2700409" -0.841375712878456 1.90342339109431 1.34807444370921 Inf -Inf 0.924393904257743
"X2700508" -0.220885461680849 0.321838462403855 0.220885461680849 Inf -Inf 0.605857266324615
"X2700607" -0.110442730840425 0.160919231201927 0.110442730840425 Inf -Inf 0.815577089283136
"X2700805" 0 0 0 NA NA NA
"X2701001" -0.220885461680849 0.321838462403855 0.220885461680849 Inf -Inf 0.558026429509514
"X2701100" -0.174701774112828 0.632911810059462 0.494552256207644 Inf -Inf 0.989104512415288
"X2701308" -0.0170691492488709 0.30176428844467 0.170063342767169 Inf -Inf 1.02038005660301
"X2701357" -0.23092570993907 0.336467483422212 0.23092570993907 Inf -Inf 0.583391267214492
"X2701407" -0.0311269512301719 0.576908252115687 0.386172484834143 Inf -Inf 1.12341086497205
"X2701704" -0.0512074477466128 0.955962273088844 0.541626260149683 Inf -Inf 1.08325252029937
"X2701902" 0 0 0 NA NA NA
"X2702108" -0.381529433812376 0.555902798697568 0.381529433812376 Inf -Inf 0.704362031653618
"X2702207" 0.0732930850751129 0.282850422794766 0.0898306016774429 Inf -Inf 4.31186888051726
"X2702306" 0.542158861745979 2.31857120663782 1.81954283511054 Inf -Inf 1.48030603534416
"X2702553" -0.0602414895493226 0.0877741261101422 0.0602414895493226 Inf -Inf 0.722897874591871
"X2702603" -0.120482979098645 0.175548252220284 0.120482979098645 Inf -Inf 0.826168999533566
"X2702702" -0.0903622343239838 0.131661189165213 0.0903622343239838 Inf -Inf 0.578318299673497
"X2702801" 0.181723403004516 1.09562232193777 0.74373430029806 Inf -Inf 1.32219431164099
"X2703007" -0.0441785467559623 0.643659313281507 0.370805048771445 Inf -Inf 1.27133159578781
"X2703205" -0.154621277596387 0.55855151029712 0.414123279819782 Inf -Inf 0.946567496730931
"X2703502" 0.172689361201807 0.70929065819892 0.46416038678589 Inf -Inf 1.59140704040877
"X2703601" 0.0160629427933603 0.375719464258169 0.243616982105757 Inf -Inf 0.866193714153803
"X2703759" -0.0592425551927739 1.14217082984624 0.775315996679778 Inf -Inf 0.886075424776889
"X2703809" -0.262052661169242 0.96331848269334 0.733021038775617 Inf -Inf 1.19271219868575
"X2703908" -0.160643972131527 0.234064336293713 0.160643972131527 Inf -Inf 0.734372444029837
"X2704005" -0.308236348737263 0.629590618390783 0.462447471527921 Inf -Inf 0.643405177777977
"X2704203" -0.0240980502395214 0.484245552501247 0.348001491623479 Inf -Inf 1.04400447487044
"X2704302" -0.184742022371048 0.414105127042116 0.260731631734756 Inf -Inf 0.510821156051766
"X2704906" -0.0200804965164409 0.0292580420367141 0.0200804965164409 Inf -Inf 0.642575888526107
"X2704500" -0.176714187023849 1.84476768499058 1.18942689982278 Inf -Inf 0.920846632120864
"X2704708" -0.0180753557043816 1.04855913467164 0.560737725377168 Inf -Inf 1.05550630659232
"X2704807" -0.0100402482582204 0.014629021018357 0.0100402482582204 Inf -Inf 0.48193191639458
"X2705101" -0.172696633300769 1.22343405713863 0.822313423328128 Inf -Inf 1.12774412342143
"X2705200" -0.157632624863957 0.449839522917778 0.320052799145798 Inf -Inf 0.808554439947279
"X2705507" -0.883541846723398 1.28735384961542 0.883541846723398 Inf -Inf 0.744035239346019
"X2705606" -0.0090413139016718 1.32621479209568 0.846053221801194 Inf -Inf 0.933575968884076
"X2706307" -0.0672703905399731 0.355941845144489 0.229146463408175 Inf -Inf 1.04752668986594
"X2706448" -0.0903622343239838 0.131661189165213 0.0903622343239838 Inf -Inf 0.619626749650175
"X2706505" 0.458832800511608 1.74355694356942 1.01952784375055 Inf -Inf 2.08243985106495
"X2706604" 0.146586170150226 0.576985159841711 0.186108417343312 Inf -Inf 5.95546935498599
"X2706703" -0.70382358453094 1.29792622897388 0.876927995564493 Inf -Inf 0.647577596724548
"X2706802" -0.150603723873306 0.219435315275356 0.150603723873306 Inf -Inf 0.578318299673496
"X2706901" -0.0612476960048332 0.613507717997093 0.481977482073567 Inf -Inf 1.02821862842361
"X2707008" 0 0 0 NA NA NA
"X2707305" -0.168679079577688 1.06299724343851 0.652710433582805 Inf -Inf 1.02721642006474
"X2707404" -0.164661525854607 0.619147336275044 0.481616625802183 Inf -Inf 0.872362190132255
"X2707503" -0.170684220389747 0.24869335731207 0.170684220389747 Inf -Inf 0.546189505247191
"X2707602" -0.0672703905399731 0.315485042761239 0.201982678489372 Inf -Inf 0.843058136303467
"X2707701" -0.0733003571740749 1.08038702185962 0.820328993508867 Inf -Inf 0.678892960145269
"X2707800" -0.311247696004833 0.453499651569068 0.311247696004833 Inf -Inf 0.694878577127069
"X2707909" -0.0200804965164409 0.0292580420367141 0.0200804965164409 Inf -Inf 0.642575888526107
"X2708105" -0.0602414895493226 0.0877741261101422 0.0602414895493226 Inf -Inf 0.578318299673497
"X2708204" -0.24096595819729 0.351096504440569 0.24096595819729 Inf -Inf 0.771091066231329
"X2708303" -0.2279143626715 0.496599033976765 0.352196362578224 Inf -Inf 0.704392725156447
"X2708501" -0.393582094981618 1.65009691730925 1.32717165840686 Inf -Inf 1.55376194154949
"X2708600" -0.472897874591871 1.00157719660229 0.705063843621413 Inf -Inf 0.657146883375297
"X2708709" -0.0070289009906505 0.314762716059926 0.172103133013008 Inf -Inf 0.97187651583816
"X2708808" -0.134540781079946 0.717861081777838 0.462565998932247 Inf -Inf 0.906251753010117
"X2708907" -0.130523227356866 0.190177273238642 0.130523227356866 Inf -Inf 0.783139364141193
"X2709004" -0.0903622343239838 0.131661189165213 0.0903622343239838 Inf -Inf 0.542173405943903
"X2709103" -0.0502012412911021 0.0731451050917852 0.0502012412911021 Inf -Inf 0.803219860657634
"X2709152" -0.358437590028365 0.697609371661903 0.514109775262304 Inf -Inf 0.796040942341632
"X2709301" -0.255023760178591 0.721296634720992 0.564448698599528 Inf -Inf 0.846673047899291
"X2709400" -0.0271093975070914 0.306901632189774 0.178736343710552 Inf -Inf 1.22562064258665
"X2900306" 0.149597517417796 0.854624716557184 0.336730009433836 Inf -Inf 1.61630404528241
"X2900405" -0.0200804965164409 0.0292580420367141 0.0200804965164409 Inf -Inf 0.963863832789161
"X2900603" -0.0170691492488709 0.258141782346367 0.14563883677961 Inf -Inf 0.776740462824587
"X2900702" -0.157632624863957 0.41598146025493 0.290737778042728 Inf -Inf 0.715662222874408
"X2900801" -1.02513334509088 4.08119700071699 3.13948774465854 Inf -Inf 0.655197442363521
"X2900900" -0.164661525854607 0.532235796596204 0.381548144964096 Inf -Inf 0.665974943937331
"X2901007" -0.130523227356866 0.190177273238642 0.130523227356866 Inf -Inf 0.569555901193595
"X2901106" 0.00602269453513986 0.442242953483295 0.301436688512539 Inf -Inf 0.964597403240124
"X2901205" 0.224852110711196 9.35587136075081 5.64021128683411 Inf -Inf 1.70807660421475
"X2901502" -0.0301207447746613 0.0438870630550711 0.0301207447746613 Inf -Inf 0.722897874591871
"X2901700" -0.0200804965164409 0.0292580420367141 0.0200804965164409 Inf -Inf 0.642575888526107
"X2901908" -0.171690426845258 1.04272219483353 0.658276764209556 Inf -Inf 1.21528018007918
"X2901957" -0.0200804965164409 0.0292580420367141 0.0200804965164409 Inf -Inf 0.48193191639458
"X2902054" -0.431730675103478 0.629047903789353 0.431730675103478 Inf -Inf 0.592087782999056
"X2902203" -0.0301207447746613 0.0438870630550711 0.0301207447746613 Inf -Inf 0.48193191639458
"X2902252" -0.0903622343239838 0.131661189165213 0.0903622343239838 Inf -Inf 0.510280852653085
"X2902302" 0.0130515955257904 0.22869680336536 0.112097561135256 Inf -Inf 0.978305988089505
"X2902401" -0.451811171619919 0.658305945826067 0.451811171619919 Inf -Inf 0.563297045136523
"X2902906" 0.0411599273894303 1.57605282594841 0.858672418567486 Inf -Inf 1.04345002762631
"X2903102" -0.120482979098645 0.175548252220284 0.120482979098645 Inf -Inf 0.642575888526107
"X2903300" -0.0371496457653118 0.312639655854608 0.187409344653936 Inf -Inf 0.899564854338893
"X2903409" -3.18177430769725 8.58963813290794 6.65927545485396 Inf -Inf 0.927852603288796
"X2903508" -2.10044611517598 4.07615813856513 2.75412777000619 Inf -Inf 1.03684810164939
"X2903706" -0.428726599934871 1.43511356178206 1.17887381406575 Inf -Inf 0.730141200969757
"X2904308" -0.0471898940235322 0.318945941339499 0.19608234559732 Inf -Inf 0.990731851439088
"X2904704" -0.0903622343239838 0.131661189165213 0.0903622343239838 Inf -Inf 0.619626749650175
"X2904803" -1.18876684819309 2.00233552227377 1.46448059382955 Inf -Inf 0.794294559365177
"X2904852" 0 0 0 NA NA NA
"X2904902" 0.0592352830938119 0.662273691634729 0.411425211452967 Inf -Inf 1.57987281197939
"X2905404" 0.128510814445844 1.01108119229068 0.677213685704724 Inf -Inf 1.12090541082161
"X2905602" -0.147592376605736 0.435141656366946 0.307063603644363 Inf -Inf 0.7558488705092
"X2905701" -0.640570747714048 1.39661775465387 0.950813202414538 Inf -Inf 0.903743241898967
"X2905800" -0.355426242760795 0.700009410554704 0.450996049055945 Inf -Inf 0.569679219860141
"X2906303" -2.50907040229752 5.70627918090989 4.26165638516692 Inf -Inf 0.711511326914825
"X2906402" -0.0200804965164409 0.0292580420367141 0.0200804965164409 Inf -Inf 0.642575888526107
"X2906501" -0.0271093975070914 0.306901632189774 0.178736343710552 Inf -Inf 0.953260499789613
"X2906709" 0.41560228341946 8.06352356139366 5.39010868996685 Inf -Inf 1.60201372828736
"X2906907" -0.721913484433246 3.6365356480319 2.61933777490565 Inf -Inf 0.743953924233557
"X2907004" -0.371489185554156 0.54127377767921 0.371489185554156 Inf -Inf 0.685826188715364
"X2907301" 0.0461836875680216 0.38876165129313 0.24080141175721 Inf -Inf 1.10080645374724
"X2907509" -0.0773106387981935 0.366886318374098 0.24046342921701 Inf -Inf 0.887864969416654
"X2908002" -0.130523227356866 0.190177273238642 0.130523227356866 Inf -Inf 0.5447926011417
"X2908200" 0.106425177117344 0.405279215446164 0.216788434807582 Inf -Inf 1.89197179468435
"X2908309" -0.0200804965164409 0.0292580420367141 0.0200804965164409 Inf -Inf 0.963863832789161
"X2908507" -0.0502012412911021 0.0731451050917852 0.0502012412911021 Inf -Inf 0.48193191639458
"X2908606" -0.92470904621179 1.80761050839551 1.36664076420774 Inf -Inf 0.993920555787446
"X2908903" 0.0230918437840108 0.264158571814483 0.122316943397991 Inf -Inf 1.3047140629119
"X2909505" -0.0170691492488709 0.320215530969346 0.181539643260631 Inf -Inf 0.917252934369507
"X2909802" 0.056223935826242 0.417143671958722 0.258556574925011 Inf -Inf 1.24107155964005
"X2910008" -0.154621277596387 0.729409295634726 0.477734677492995 Inf -Inf 0.975798490198458
"X2910057" -0.120482979098645 0.175548252220284 0.120482979098645 Inf -Inf 0.60875610491947
"X2910206" 0 0 0 NA NA NA
"X2910305" 0 0 0 NA NA NA
"X2910404" 0.553154411766976 10.4366602143116 5.48346216808899 Inf -Inf 1.04034064849119
"X2910503" -0.312253902460344 1.02663850332616 0.788352443860157 Inf -Inf 1.009091128141
"X2910602" -1.11446755666247 1.62382133303763 1.11446755666247 Inf -Inf 0.842432168815723
"X2910727" -0.792180678042865 1.35883151816601 0.934606950679485 Inf -Inf 0.474720990821326
"X2910800" -0.291167199488392 0.424241609532354 0.291167199488392 Inf -Inf 0.582334398976785
"X2910909" -0.351408689037715 0.512015735642496 0.351408689037715 Inf -Inf 0.717770939311077
"X2911006" -0.217874114413279 0.411887565082981 0.278251383656621 Inf -Inf 0.621212391419432
"X2911204" -0.070281737807543 0.102403147128499 0.070281737807543 Inf -Inf 0.519003602271087
"X2911501" -0.100402482582204 0.14629021018357 0.100402482582204 Inf -Inf 0.566978725170095
"X2911600" -0.0100402482582204 0.014629021018357 0.0100402482582204 Inf -Inf 0.963863832789161
"X2911808" -0.742985643207273 2.24607979128325 1.67823455394245 Inf -Inf 0.703539376325219
"X2912103" -0.140563475615086 0.204806294256999 0.140563475615086 Inf -Inf 0.613367893593102
"X2912301" -1.2259164939584 2.12099273046571 1.49650849846625 Inf -Inf 0.72557987804424
"X2912707" 0.129517020901355 0.661198531653566 0.364015096873986 Inf -Inf 1.58842951363194
"X2912806" 0.095378722403613 0.700033838789145 0.493400548385915 Inf -Inf 0.861208229909961
"X2912905" -0.0170691492488709 0.318654091029615 0.180542086716561 Inf -Inf 1.01953178381117
"X2913457" 0.172689361201807 0.935155866885267 0.48603634382328 Inf -Inf 1.66641032167982
"X2913507" 0.192762585619285 1.49138136348939 1.35391515269744 Inf -Inf 1.05671426551995
"X2913606" 0.57529095378821 2.51418854613063 2.02586317598007 Inf -Inf 1.17868402966113
"X2913705" 0.112447871652484 0.865106362266976 0.543299972757011 Inf -Inf 1.93173323646937
"X2913804" -0.110442730840425 0.160919231201927 0.110442730840425 Inf -Inf 0.558026429509514
"X2913903" -0.0271093975070914 0.326821881739207 0.191360274253361 Inf -Inf 0.874789825158223
"X2914208" -0.127511880089296 0.386003601794269 0.265466353144388 Inf -Inf 0.653455638509263
"X2914505" -0.0803219860657634 0.117032168146856 0.0803219860657634 Inf -Inf 0.700991878392117
