"ME" "RMSE" "MAE" "MAPE" "MPE" "MASE"
"Total" 2230.96167796428 6181.72271802139 4425.83483161372 30.287234321342 6.90845930097931 0.798009379414786
"A" 42.8936320042052 390.105147644421 301.992254037059 30.4725226746773 -8.60379699689575 0.466517385227177
"B" 1986.66741123926 5514.0118275194 3694.01828473018 45.0596566627944 11.5768506082346 1.21117421859696
"C" -259.381002949534 741.100880961156 460.789177760913 83.9115655554297 -81.0648069008519 0.67504594941321
"D" 45.3389796799666 104.820012819992 75.2223113476894 57.8167814747846 0.203106255426078 1.72223751237257
"E" 945.619278995878 1833.20888897638 1105.3957708096 70.3722767586045 10.5135136630562 3.17357479507511
"F" -530.176621005499 1296.11728911172 624.533132742827 21.9840933143739 -11.6719028366981 0.367550350618935
"X2700201" -0.00131350373094373 0.00136841329129543 0.00131350373094373 Inf -Inf 0.0070053532316999
"X2700300" -0.0358126011119694 0.0373312121101811 0.0358126011119694 Inf -Inf 0.245572121910647
"X2700409" -0.665850539966504 1.13727645860236 0.821968330771876 Inf NA 0.563635426815001
"X2700508" -0.189700780689742 0.197631010517536 0.189700780689742 Inf -Inf 0.520322141320436
"X2700607" -1.31662919720338 1.37166941419059 1.31662919720338 Inf -Inf 9.7228002255019
"X2700805" 0 0 0 NA NA NA
"X2701001" -0.189590014346375 0.197515613710568 0.189590014346375 Inf -Inf 0.478964246769791
"X2701100" -0.12644101677093 0.442894412634453 0.396017972632888 Inf -Inf 0.792035945265776
"X2701308" -0.00290734503004369 0.277622938641847 0.15524289337415 Inf -Inf 0.9314573602449
"X2701357" -0.198284584227959 0.206573650401114 0.198284584227959 Inf -Inf 0.500929475944318
"X2701407" -1.95675678103949 2.06958806919957 1.95675678103949 Inf -Inf 5.69238336302397
"X2701704" -0.00869349994786064 0.849175505883899 0.474848344983164 Inf -Inf 0.949696689966327
"X2701902" 0 0 0 NA NA NA
"X2702108" -0.365913475129268 0.616020303694251 0.373830314520729 Inf NA 0.690148272961346
"X2702207" 0.0747029844974335 0.285408314374249 0.0900074143139895 Inf -Inf 4.3203558870715
"X2702306" 0.66647724269619 1.74999282007591 1.25584075015766 Inf -Inf 1.02170094928081
"X2702553" -0.0232941082443175 0.0242690923351084 0.0232941082443175 Inf -Inf 0.27952929893181
"X2702603" -0.103429749646908 0.107753515119822 0.103429749646908 Inf -Inf 0.709232569007369
"X2702702" -0.0776456423375838 0.0808915319255174 0.0776456423375838 Inf -Inf 0.496932110960536
"X2702801" 0.238439300796823 1.00714579538752 0.711023737353196 Inf -Inf 1.26404219973901
"X2703007" -0.251798143733861 0.643347900020918 0.53038326592879 Inf -Inf 1.81845691175585
"X2703205" -0.109344692565368 0.408128054763787 0.35989503452058 Inf -Inf 0.822617221761325
"X2703502" 0.195404654105557 0.664747900930159 0.415424052480474 Inf -Inf 1.42431103707591
"X2703601" 0.037375877150043 0.366084462485696 0.24516570588157 Inf -Inf 0.871700287578917
"X2703759" 0.0241837975008435 0.639170485684671 0.388375752336483 Inf NA 0.443858002670266
"X2703809" -0.0740560052202482 0.8216289325578 0.561370470430931 Inf NA 0.913416358667278
"X2703908" -0.137985942241168 0.143754290853116 0.137985942241168 Inf -Inf 0.630792878816766
"X2704005" -0.252717345538543 0.402413587766123 0.375418132487696 Inf -Inf 0.522320879982882
"X2704203" 0.0022993159538669 0.395931821201198 0.291806718554852 Inf -Inf 0.875420155664556
"X2704302" -0.135199432016306 0.353803145432114 0.328141776405174 Inf -Inf 0.64289001091626
"X2704906" -0.017160226752099 0.0178775909165817 0.017160226752099 Inf -Inf 0.549127256067168
"X2704500" -0.0574401727876981 1.48218571912799 1.03660719385527 Inf -Inf 0.802534601694401
"X2704708" 0.0314892650792526 1.07635504047564 0.566757473349386 Inf -Inf 1.06683759689296
"X2704807" -0.00862197834033632 0.00898241054077599 0.00862197834033632 Inf -Inf 0.413854960336143
"X2705101" -0.0792954932420422 0.904164047054641 0.598532449841101 Inf NA 0.820844502639224
"X2705200" -0.108476235727673 0.433169306694496 0.261073256676332 Inf NA 0.659553490550734
"X2705507" -0.758684886956982 0.790400863552159 0.758684886956982 Inf -Inf 0.638892536384827
"X2705606" 0.0109878832640633 1.34905735312097 0.854310799245133 Inf -Inf 0.942687778477388
"X2706307" -0.0456946179646296 0.290726143671028 0.195480415930161 Inf -Inf 0.89362475853788
"X2706448" -0.0560785803662473 0.0584181535460641 0.0560785803662473 Inf -Inf 0.384538836797124
"X2706505" 0.499783205870911 1.65031948543507 0.909357590485082 Inf -Inf 1.85741124865038
"X2706604" 0.149566088009796 0.573738745911753 0.181529957820201 Inf -Inf 5.80895865024643
"X2706703" -0.568874981039761 0.740920577013074 0.658996751682008 Inf -Inf 0.486643755088252
"X2706802" -0.129315869400971 0.134721775275485 0.129315869400971 Inf -Inf 0.496572938499727
"X2706901" -0.0171424235260118 0.462691518543453 0.403769400425555 Inf -Inf 0.86137472090785
"X2707008" 0 0 0 NA NA NA
"X2707305" -0.114647260341576 1.00041280738212 0.713594742629485 Inf NA 1.12303434905624
"X2707404" -0.119029038636979 0.432518794646094 0.384179300598448 Inf -Inf 0.695871940706622
"X2707503" -0.14323932513263 0.149227285564578 0.14323932513263 Inf -Inf 0.458365840424416
"X2707602" -0.0459771166216758 0.276841326739938 0.187803134659132 Inf -Inf 0.783873953359856
"X2707701" 0.0428477944244753 0.94413977461553 0.772162670988519 Inf -Inf 0.639031175990498
"X2707800" -0.267153812747093 0.278321880304605 0.267153812747093 Inf -Inf 0.5964364191563
"X2707909" -0.147089913635772 0.159416814204971 0.147089913635772 Inf -Inf 4.70687723634469
"X2708105" -0.0517608441188069 0.0539246485504507 0.0517608441188069 Inf -Inf 0.496904103540546
"X2708204" -0.0492625557976037 0.301962360493672 0.192725582904601 Inf NA 0.616721865294724
"X2708303" -0.184130823773838 0.341365486385624 0.306351405886345 Inf -Inf 0.612702811772689
"X2708501" -0.348814290091517 1.43266337158628 1.12325791785725 Inf NA 1.31503365993044
"X2708600" -3.03471918597972 3.20681893162062 3.03471918597972 Inf -Inf 2.82847613450537
"X2708709" 0.00574775166243172 0.28548375715271 0.152553236415105 Inf -Inf 0.861477099755887
"X2708808" -0.0919699434623534 0.591743881965454 0.397415740153901 Inf -Inf 0.778610429689276
"X2708907" -0.111937183899625 0.116616593184987 0.111937183899625 Inf -Inf 0.671623103397751
"X2709004" -0.0776319027954417 0.0808772180171207 0.0776319027954417 Inf -Inf 0.46579141677265
"X2709103" -0.043216746124953 0.0450233740572904 0.043216746124953 Inf -Inf 0.691467937999247
"X2709152" -0.296173240961659 0.438652894979963 0.415604373733737 Inf -Inf 0.643516449652238
"X2709301" -0.197191964867244 0.46633496674094 0.437633371000587 Inf -Inf 0.656450056500881
"X2709400" 0.0389215948601069 0.279455994772623 0.120366861540007 Inf -Inf 0.825372764845763
"X2900306" 0.163732604498256 0.845618477311165 0.321931837435916 Inf -Inf 1.5452728196924
"X2900405" -2.04189358447281e-06 2.08410468740849e-06 2.04189358447281e-06 Inf -Inf 9.80108920546946e-05
"X2900603" 0.0185098807162977 0.269146645621715 0.132702619501644 Inf -Inf 0.707747304008768
"X2900702" -0.123657229897104 0.29032538773599 0.244777243350079 Inf -Inf 0.602528599015578
"X2900801" -0.490582939758662 2.92423186856204 2.70501542919181 Inf -Inf 0.564524959135682
"X2900900" -0.119275073695623 0.37088991710959 0.334759511077993 Inf -Inf 0.584307510245224
"X2901007" -0.112128766756478 0.116816184949766 0.112128766756478 Inf -Inf 0.489289164028269
"X2901106" 0.0285439425393294 0.383703995730134 0.264645194077401 Inf -Inf 0.846864621047684
"X2901205" -0.621020575710532 4.83906722102424 2.71536381209933 Inf NA 0.822318378427557
"X2901502" -0.0258857688748957 0.0269678946083834 0.0258857688748957 Inf -Inf 0.621258452997496
"X2901700" -0.0172277121663005 0.0179478974833514 0.0172277121663005 Inf -Inf 0.551286789321615
"X2901908" -0.0278312711703445 0.851123283353146 0.491386219525135 Inf -Inf 0.907174559123326
"X2901957" -0.0172473332259458 0.0179683387795392 0.0172473332259458 Inf -Inf 0.4139359974227
"X2902054" -0.0538582110334931 0.0561096935527347 0.0538582110334931 Inf -Inf 0.073862689417362
"X2902203" -0.0258413497035051 0.0269216185430116 0.0258413497035051 Inf -Inf 0.413461595256081
"X2902252" -0.000404695910599372 0.000421613772348556 0.000404695910599372 Inf -Inf 0.00228534161279645
"X2902302" 0.0228136914388644 0.271469106268875 0.130239865730977 Inf -Inf 1.13663882819762
"X2902401" -0.388258025600473 0.404488719877545 0.388258025600473 Inf -Inf 0.484061953995394
"X2902906" -0.238349305182896 1.58675754416202 1.05209596090849 Inf -Inf 1.27849635755969
"X2903102" -0.231306665941638 0.242332984178955 0.231306665941638 Inf -Inf 1.23363555168874
"X2903300" 0.0807618108012571 0.287946497707244 0.0854775309141721 Inf -Inf 0.410292148388026
"X2903409" -0.687537414213381 3.96204713808989 3.45418651054779 Inf -Inf 0.481279978247588
"X2903508" -3.01093666554732 7.37730408671967 3.5347309549363 Inf NA 1.33072224185837
"X2903706" 0.70310126781907 1.38515521710532 1.21716159963475 Inf NA 0.753854926225395
"X2904308" 0.0691011867818773 0.284935321248222 0.0952004407862617 Inf -Inf 0.481012753446375
"X2904704" -0.0775771868468913 0.0808202147292896 0.0775771868468913 Inf -Inf 0.531957852664398
"X2904803" -1.26316386016805 2.31931238213074 1.34884739655411 Inf -Inf 0.731578248978498
"X2904852" 0 0 0 NA NA NA
"X2904902" 0.159452506444811 0.629569246712946 0.303843726642517 Inf NA 1.16675991030726
"X2905404" 0.180927200517129 0.916173754610546 0.631439177609886 Inf -Inf 1.04514070776809
"X2905602" -0.114996601892374 0.320381382738092 0.258281970451804 Inf -Inf 0.635771004189056
"X2905701" -0.374891405017998 1.07354328550182 0.683023053298791 Inf NA 0.649210030858257
"X2905800" -0.281776483420083 0.456905430821398 0.43893939820404 Inf -Inf 0.554449766152472
"X2906303" -0.286070639587708 2.12696208528647 1.67400542589759 Inf -Inf 0.279486123280294
"X2906402" -0.0172393953944565 0.0179600691158464 0.0172393953944565 Inf -Inf 0.551660652622608
"X2906501" -0.0114849504110659 0.278091205899482 0.162395107861078 Inf -Inf 0.86610724192575
"X2906709" 1.44224610113634 4.83042602744428 3.46510359133008 Inf Inf 1.02987598999284
"X2906907" 0.0744270003231105 1.79748468510699 1.51483855627481 Inf -Inf 0.430250004149058
"X2907004" -0.251582949829333 0.381699403999478 0.270677343280636 Inf NA 0.499712018364251
"X2907301" 0.109847823065983 0.387114495306431 0.203172535541456 Inf -Inf 0.928788733903797
"X2907509" -0.0547890108520162 0.298141560475315 0.206304561794548 Inf -Inf 0.761739920472177
"X2908002" -0.112221812639669 0.116913120512459 0.112221812639669 Inf -Inf 0.468404087539487
"X2908200" 0.114985105858183 0.392703259763105 0.202998444593048 Inf -Inf 1.77162278917569
"X2908309" -0.76526359185891 0.860659401442714 0.76526359185891 Inf -Inf 36.7326524092277
"X2908507" -0.0430919299960689 0.0448933401291718 0.0430919299960689 Inf -Inf 0.413682527962261
"X2908606" -0.21346634002316 0.699442381964145 0.6028571920604 Inf -Inf 0.438441594225746
"X2908903" 0.031641713309524 0.272976792143055 0.123307854018423 Inf -Inf 1.31528377619651
"X2909505" -0.00261110139355 0.286221436429668 0.159850226961979 Inf -Inf 0.807664304649997
"X2909802" 0.0718319527173045 0.385047236017205 0.233334811223837 Inf -Inf 1.12000709387442
"X2910008" -0.109270057874903 0.586320088775682 0.406502286215484 Inf -Inf 0.830302542057159
"X2910057" -0.103368702771371 0.107689916247654 0.103368702771371 Inf -Inf 0.522283971897454
"X2910206" 0 0 0 NA NA NA
"X2910305" 0 0 0 NA NA NA
