"ME" "RMSE" "MAE" "MAPE" "MPE" "MASE"
"Total" 4900.14608545244 8798.80522123417 5312.38840408853 28.9518753640482 25.7631687160966 0.957861270211764
"A" 292.432967490795 646.004109246931 470.116807317778 29.7880949377411 16.1002530917156 0.726236056618607
"B" 2191.70197044628 5157.63646820517 2974.27951313264 32.9478598409411 19.8058756699957 0.975190263702363
"C" 235.828286126116 843.316405366502 409.524173092614 51.8516745404589 -37.0895013575323 0.59994385192875
"D" 52.2048936268496 106.836891973524 67.8501893276035 42.6788242445281 7.64790808769472 1.55345055460289
"E" 1374.66235469078 2304.33631898475 1374.66235469078 75.1326679187614 75.1326679187614 3.9466351471474
"F" 753.315613071627 1850.44750642998 974.579691400487 23.8330272008123 15.3709047755782 0.573559813723842
"X2700201" -0.0820013343997691 0.0995100324718817 0.0820013343997691 Inf -Inf 0.437340450132102
"X2700300" -0.07316009674836 0.0855479941588299 0.07316009674836 Inf -Inf 0.501669234845897
"X2700409" -0.560769780238862 1.48597563818061 1.15711699004005 Inf -Inf 0.793451650313177
"X2700508" -0.167326468289543 0.201070972460989 0.167326468289543 Inf -Inf 0.458952598737033
"X2700607" -0.414715964560801 0.447022072074453 0.414715964560801 Inf -Inf 3.0625178921413
"X2700805" 0 0 0 NA NA NA
"X2701001" -0.166035905858631 0.20025782771293 0.166035905858631 Inf -Inf 0.419459130590225
"X2701100" -0.0886297405823244 0.469726259816172 0.380955718835212 Inf -Inf 0.761911437670425
"X2701308" 0.0072758477472195 0.292764398910763 0.153415268945289 Inf -Inf 0.920491613671732
"X2701357" -0.175053676070628 0.211191719729756 0.175053676070628 Inf -Inf 0.442240865862639
"X2701407" -0.105249746509932 0.722789323315154 0.471255457324265 Inf -Inf 1.3709249667615
"X2701704" 0.0218275432416216 0.885718454408217 0.464611887186914 Inf -Inf 0.929223774373828
"X2701902" 0 0 0 NA NA NA
"X2702108" -0.289075199916701 0.349621605115905 0.289075199916701 Inf -Inf 0.53367729215391
"X2702207" 0.0833333333333333 0.288675134594813 0.0833333333333333 100 100 4
"X2702306" 0.88006943855043 2.16594777558667 1.57170767382387 Inf -Inf 1.27867742955162
"X2702553" -0.0456344913514189 0.0548375379435759 0.0456344913514189 Inf -Inf 0.547613896217027
"X2702603" -0.0835565705781005 0.103445935442354 0.0835565705781005 Inf -Inf 0.572959341106975
"X2702702" -0.0684517370274716 0.0822563069157762 0.0684517370274716 Inf -Inf 0.438091116975818
"X2702801" 0.255589430097967 1.01604409309835 0.680307877591706 Inf -Inf 1.2094362268297
"X2703007" -0.0178020345368235 0.515982008696206 0.293727411260307 Inf -Inf 1.00706541003534
"X2703205" 0.0186187241817954 0.379807088592331 0.262337477175076 Inf -Inf 0.599628519257317
"X2703502" 0.211641356395324 0.695900580744263 0.427479591139499 Inf -Inf 1.46564431247828
"X2703601" 0.052580438287475 0.388558281341361 0.246269044079724 Inf -Inf 0.875623267839021
"X2703759" 0.0417750572076424 0.972142058776912 0.649013277916748 Inf -Inf 0.741729460476284
"X2703809" -0.131094075343586 0.695464806105587 0.551891611969462 Inf -Inf 0.897993131340142
"X2703908" -0.12169197693782 0.146233434517047 0.12169197693782 Inf -Inf 0.556306180287179
"X2704005" -0.210959170009896 0.441151490933256 0.362905084985181 Inf -Inf 0.504911422588077
"X2704203" 0.0221574440529579 0.418885136911246 0.28981889276226 Inf -Inf 0.86945667828678
"X2704302" -0.0995345328848389 0.358695394701621 0.292536764329107 Inf -Inf 0.573133252563149
"X2704906" 0 0 0 NA NA 0
"X2704500" 0.0385227280706103 1.64922696220072 1.1330712591925 Inf -Inf 0.877216458729681
"X2704708" 0.0671321337818381 1.09428907455487 0.539986638873398 Inf -Inf 1.01644543787934
"X2704807" 0 0 0 NA NA 0
"X2705101" 0.0297733141362615 0.976235575162034 0.699520111812667 Inf -Inf 0.959341867628801
"X2705200" -0.0992046320736504 0.339586541716346 0.249742495637752 Inf -Inf 0.630928410032215
"X2705507" -0.64913250867928 0.846148137823151 0.64913250867928 Inf -Inf 0.546637902045709
"X2705606" 0.136228121698493 1.22110232036762 0.737555583284334 Inf -Inf 0.813854436727541
"X2706307" -0.030752895045721 0.308784343589475 0.190639276926663 Inf -Inf 0.871493837379033
"X2706448" -0.0684517370275419 0.0822563069158607 0.0684517370275419 Inf -Inf 0.46938333961743
"X2706505" 0.529433291800181 1.67631596429597 0.915859671466464 Inf -Inf 1.87069209491022
"X2706604" 0.166666666666667 0.577350269189626 0.166666666666667 100 100 5.33333333333333
"X2706703" -0.468044838250204 0.864450622882984 0.714623148646002 Inf -Inf 0.527721709769355
"X2706802" -0.120478651767217 0.141412261505926 0.120478651767217 Inf -Inf 0.462638022786112
"X2706901" 0.0201366473663373 0.506279070523228 0.408024154680764 Inf -Inf 0.87045152998563
"X2707008" 0 0 0 NA NA NA
"X2707305" -0.0791915046464044 0.995442822667683 0.630671802581441 Inf -Inf 0.992532672915055
"X2707404" -0.0843230357677095 0.469616217561213 0.380562638306415 Inf -Inf 0.689321005234261
"X2707503" -0.129297725495947 0.155373024173778 0.129297725495947 Inf -Inf 0.413752721587031
"X2707602" -0.0370033714661967 0.296725903850965 0.188536027201124 Inf -Inf 0.786932983100342
"X2707701" 0.118532755040773 0.958638926731561 0.69679270297505 Inf -Inf 0.576656030048317
"X2707800" -0.23943090243588 0.289427256556695 0.23943090243588 Inf -Inf 0.534543410089406
"X2707909" -0.0592457076088136 0.0711937099062528 0.0592457076088136 Inf -Inf 1.89586264348204
"X2708105" 0.000318555598678758 0.00111637077215011 0.000326720312269446 Inf NA 0.00313651499778668
"X2708204" -0.132306502515549 0.166081557761576 0.139403621552546 Inf NA 0.446091588968148
"X2708303" -0.152444871983698 0.380898248424019 0.300587333730467 Inf -Inf 0.601174667460933
"X2708501" -0.369615189222305 1.3576205889503 1.14402705817537 Inf -Inf 1.33934875103458
"X2708600" -0.417265004366247 0.783192662353152 0.682757330984665 Inf -Inf 0.636356347325512
"X2708709" 0.0157545057139301 0.289814116110118 0.144893200331869 Inf -Inf 0.818220425403495
"X2708808" -0.0607782531883152 0.60764325977106 0.374381732525412 Inf -Inf 0.73348257800897
"X2708907" -0.0944871633097954 0.112318318462896 0.0944871633097954 Inf -Inf 0.566922979858772
"X2709004" -0.0684517370275287 0.0822563069158448 0.0684517370275287 Inf -Inf 0.410710422165172
"X2709103" 0.0177333932112987 0.0614302760651326 0.0177333932112987 Inf Inf 0.283734291380778
"X2709152" -0.251319603245658 0.459897820231548 0.384440797767182 Inf -Inf 0.595263170736282
"X2709301" -0.146925179673491 0.515739450383635 0.435065909082528 Inf -Inf 0.652598863623792
"X2709400" -0.000329900811074914 0.294733120557052 0.160423462506192 Inf -Inf 1.10004660004246
"X2900306" 0.17394251441385 0.860480423942305 0.320081935611988 Inf -Inf 1.53639329093754
"X2900405" 0 0 0 NA NA 0
"X2900603" 0.00872684093874212 0.261943275379049 0.135028114830187 Inf -Inf 0.720149945760995
"X2900702" -0.0992046320734134 0.270198762902927 0.207430847797044 Inf -Inf 0.510599009961956
"X2900801" -0.0927717570752569 3.16007017103281 2.58527723638377 Inf -Inf 0.539536118897483
"X2900900" -0.0781579941577091 0.378121961733791 0.299182810842985 Inf -Inf 0.522209997107755
"X2901007" -0.098874731261988 0.118814665545112 0.098874731261988 Inf -Inf 0.431453372779584
"X2901106" 0.0449746897288448 0.407788732766535 0.266599410138506 Inf -Inf 0.85311811244322
"X2901205" -1.2785069744567 7.38855395078061 3.62513671052041 Inf -Inf 1.0978331994005
"X2901502" -0.0228172456758434 0.0274187689719489 0.0228172456758434 Inf -Inf 0.547613896220243
"X2901700" 0 0 0 NA NA 0
"X2901908" 0.158961981467743 0.86532159119173 0.33660813007984 Inf -Inf 0.621430393993551
"X2901957" 0 0 0 NA NA 0
"X2902054" -0.320424386698983 0.390533452286515 0.320424386698983 Inf -Inf 0.439439158901462
"X2902203" 0 0 0 NA NA 0
"X2902252" -0.0665432699275322 0.0810396603567821 0.0665432699275322 Inf -Inf 0.37577375959077
"X2902302" 0.0306004590691353 0.257149852368934 0.114810629043089 Inf -Inf 1.00198367164878
"X2902401" -0.389357290982631 0.443697327386126 0.389357290982631 Inf -Inf 0.485432466679644
"X2902906" 0.167763221205838 1.62665228516614 0.77552792195557 Inf -Inf 0.942413677313098
"X2903102" -0.215447894530701 0.258896982114023 0.215447894530701 Inf -Inf 1.14905543749707
"X2903300" -0.00460878027870383 0.296370857290309 0.164196426167687 Inf -Inf 0.788142845604895
"X2903409" -1.71011007273013 5.66991920923005 4.70769166248351 Inf -Inf 0.655933816543421
"X2903508" -4.13035908047353 9.24938305927845 4.42700440033035 Inf NA 1.6666369507126
